1.基于钾调控的麻黄质量响应机制研究,批准号：81760687,申请代码：H3201,项目类别：地区科学基金项目,项目负责人： 赵云生,资助经费：34.0（万元）,批准年度：2017,结题年度：2021,依托单位： 宁夏医科大学,关键词： 麻黄； 功能基因； 生理与生长指标； 钾； 质量
2.广义相对论中关于质量及等周不等式问题的研究,批准号：11801078,申请代码：A0109,项目类别：青年科学基金项目,项目负责人： 季丹丹,资助经费：25.0（万元）,批准年度：2018,结题年度：2021,依托单位： 福建师范大学,关键词： 相对体积； 等周不等式； 渐近双曲流形； Penrose不等式； 质量
3.基于LAMOST数据的M31和M33新天体搜寻及M31化学动力学性质研究,批准号：11803029,申请代码：A1403,项目类别：青年科学基金项目,项目负责人： 陈丙秋,资助经费：28.0（万元）,批准年度：2018,结题年度：2021,依托单位： 云南大学,关键词： 郭守敬望远镜； 金属丰度； 大仙女座星系； 恒星成分； 质量
4.小质量的超大质量黑洞的自旋起源,批准号：11773036,申请代码：A1404,项目类别：面上项目,项目负责人： 徐达维,资助经费：64.0（万元）,批准年度：2017,结题年度：2021,依托单位： 中国科学院国家天文台,关键词： 黑洞质量； 黑洞自旋； 活动星系核； 寄主星系； 射电辐射
5.基于重力卫星数据监测全球质量变化的三维加速度点质量模型法,批准号：41804077,申请代码：D0406,项目类别：青年科学基金项目,项目负责人： 苏勇,资助经费：23.0（万元）,批准年度：2018,结题年度：2021,依托单位： 西南石油大学,关键词： 三维加速度点质量模型法； 时空约束方程； 卫星重力测量； 全球地表质量变化； 正则化技术
6.债转股、会计质量、公司治理与退出机制,批准号：71772050,申请代码：G0206,项目类别：面上项目,项目负责人： 陈超,资助经费：47.0（万元）,批准年度：2017,结题年度：2021,依托单位： 复旦大学,关键词： 退出机制； 公司治理； 会计质量； 债转股
7.OpenStreetMap道路数据质量的定量估计,批准号：41771428,申请代码：D0114,项目类别：面上项目,项目负责人： 周琪,资助经费：63.0（万元）,批准年度：2017,结题年度：2021,依托单位： 中国地质大学（武汉）,关键词： 众包数据； 矢量数据； 地图更新； 数据质量评价； OpenStreetMap
8.最优质量运输问题和图像配准,批准号：12026432,申请代码：A0304,项目类别：数学天元基金项目,项目负责人： 刘海蓉,资助经费：20.0（万元）,批准年度：2020,结题年度：2021,依托单位： 南京林业大学,关键词： 最优质量运输； 图像配准； 非线性椭圆方程
9.面向视觉质量优化的深度学习视频编码,批准号：61772483,申请代码：F0210,项目类别：面上项目,项目负责人： 刘东,资助经费：62.0（万元）,批准年度：2017,结题年度：2021,依托单位： 中国科学技术大学,关键词： 视觉质量； 后处理； 深度学习； 视频编码； 变换量化
10.定价延迟下企业产品质量决策研究,批准号：71801209,申请代码：G0102,项目类别：青年科学基金项目,项目负责人： 刘彦,资助经费：18.0（万元）,批准年度：2018,结题年度：2021,依托单位： 中国科学技术大学,关键词： 报童模型； 库存理论； 定价延迟； 供应链管理； 产品质量
11.南方集体林区资源禀赋、产权演化与森林质量,批准号：71773091,申请代码：G0311,项目类别：面上项目,项目负责人： 姚顺波,资助经费：48.0（万元）,批准年度：2017,结题年度：2021,依托单位： 西北农林科技大学,关键词： 资源禀赋； 经营行为； 森林质量； 林业产权演化； 林业产权政策优化
12.基于结构先验的低质量视觉信息恢复研究,批准号：61772512,申请代码：F0210,项目类别：面上项目,项目负责人： 郭晓杰,资助经费：67.0（万元）,批准年度：2017,结题年度：2021,依托单位： 天津大学,关键词： 污染恢复； 低照度图像增强； 结构先验； 恶劣天气干扰恢复
13.能量天平质量量子基准关键问题研究,批准号：51807186,申请代码：E0701,项目类别：青年科学基金项目,项目负责人： 许金鑫,资助经费：35.0（万元）,批准年度：2018,结题年度：2021,依托单位： 中国计量大学,关键词： 准直； 质量单位千克； 磁场； 能量天平； 普朗克常数
14.基于视觉关注机制的全景视频质量评估研究,批准号：61801364,申请代码：F0117,项目类别：青年科学基金项目,项目负责人： 张伟,资助经费：29.5（万元）,批准年度：2018,结题年度：2021,依托单位： 西安电子科技大学,关键词： 客观评价； 全景视频； 视觉关注机制； 主观评价
15.面向消费者应用的视觉质量评估研究,批准号：61772348,申请代码：F0210,项目类别：面上项目,项目负责人： Jari Tapani KORHONEN,资助经费：66.0（万元）,批准年度：2017,结题年度：2021,依托单位： 深圳大学,关键词： 主观评估； 客观评估； 捕获失真； 视频质量评估； 消费者场景
